mark_markid,mark_name,mark_addr_sect,mark_addr,mark_name1,mark_subunit,mark_subname,mark_flag,mark_xcoor67,mark_ycoor67,mark_html,mark_engname,mark_spot,mark_memo,mark_self,mark_addr_lie,marklev1,marklev2,marklev3,marklev4,marklev5
0981005125,幸福餃子館,大安區,建國南路二段11巷28之1號,,,,,303593.974,2769714.447,,,,,,龍圖里,美食佳餚,各類小吃,,,
0991002021,阿春師便當,南港區,研究院路一段2之5號,,,,,311361.046,2772202.648,,,,,,新富里,美食佳餚,中式料理,快餐店,,
0991002193,uptown,信義區,信義路五段16號,,,,,305979.632,2769721.337,,,,,,景新里,美食佳餚,娛樂餐飲,啤酒屋,,
0971107505,濟南自助餐,中正區,濟南路二段48巷2號,,,,,302743.506,2770491.721,,,,,,幸市里,美食佳餚,中式料理,快餐店,,
0971107872,蘿蔔園乾麵專賣店,信義區,忠孝東路四段559巷7號,,,,,306036.542,2770808.057,,,,,,新仁里,美食佳餚,中式料理,北方麵食,,
0980700164,九份芋圓店,大同區,赤峰街3巷16號,,,,,301615.299,2771980.496,,,,,,光能里,美食佳餚,其他美食,,,
0980700233,上園食府,松山區,民生東路三段130巷5弄4號,,,,,304309.515,2772409.741,,,,,,松基里,美食佳餚,中式料理,江浙料理,,
0991003640,阿米咯泡芙,北投區,中央北路二段295號,,,,,298588.504,2781397.943,,,,,,豐年里,美食佳餚,其他美食,,,
0991003786,comebuy 日式茶坊,信義區,吳興街277號,,,,,306101.147,2769052.197,,,,,,三張里,美食佳餚,茶飲冰品,泡沫紅茶,,
0991003792,上純飲料站,萬華區,貴陽街二段97號,,,,,299985.693,2770496.962,,,,,,新起里,美食佳餚,茶飲冰品,泡沫紅茶,,
0991003797,日出茶太飲料店,士林區,福港街238號,,,,,301369.925,2775464.158,,,,,,百齡里,美食佳餚,茶飲冰品,泡沫紅茶,,
0991003812,CHOR,萬華區,武昌街二段85之2號,,,,,300104.488,2771092.478,,,,,,萬壽里,美食佳餚,茶飲冰品,泡沫紅茶,,
0981001760,若獅子,大同區,酒泉街36號,,,,0,301511.534,2773894.885,,,0,,,至聖里,美食佳餚,日式料理,,,
0981002839,橫?蛋包飯,大安區,浦城街57號,,,,0,302331.849,2768554.468,,,0,,,古莊里,美食佳餚,日式料理,,,
0990801056,台北市民便當石牌店,北投區,裕民四路10號,,,,,301212.812,2778856.13,,,,,,振華里,美食佳餚,中式料理,快餐店,,
0990801061,阿松自助餐,萬華區,環河南路三段355號,,,,,299119.924,2767970.693,,,,,,華中里,美食佳餚,中式料理,快餐店,,
0980702162,紅塵,松山區,民權東路三段106巷12號,,,,,304130.971,2772857.194,,,,,,民有里,美食佳餚,西式料理,西餐.簡餐,,
0980702481,池上飯包,大同區,重慶北路一段89之1號,,,,0,301063.678,2771960.674,,,0,,,建功里,美食佳餚,中式料理,快餐店,,
0980702926,喜憨兒麵膳坊,松山區,民生東路四段55巷3弄10號,,,,,304759.669,2772548.796,,,,,,精忠里,美食佳餚,中式料理,北方麵食,,
0981019538,阿里港剝骨鵝肉?,松山區,光復北路236號,,,,,305202.218,2772383.21,,,,,,東昌里,美食佳餚,各類小吃,,,
0981019842,亞?子工坊,松山區,南京東路五段66巷23號,,,,,305760.272,2771678.815,,,,,,吉祥里,美食佳餚,其他美食,,,
0981019845,品廚食蔬館,松山區,南京東路五段66巷2弄9號,,,,0,305685.685,2771725.308,,,0,,,吉祥里,美食佳餚,西式料理,西餐.簡餐,,
