mark_markid,mark_name,mark_addr_sect,mark_addr,mark_name1,mark_subunit,mark_subname,mark_flag,mark_xcoor67,mark_ycoor67,mark_html,mark_engname,mark_spot,mark_memo,mark_self,mark_addr_lie,marklev1,marklev2,marklev3,marklev4,marklev5
0980700101,OK便利商店,大同區,太原路153號,,,,,301303.68,2772202.566,,,,,,星明里,休閒購物,生活購物,便利商店,,
0971100301,OK便利商店汀州路店,中正區,汀州路三段109號,,,,,302652.776,2767947.9,,,,,,文盛里,休閒購物,生活購物,便利商店,,
0971100304,OK便利超商士林和豐店,士林區,和豐街39巷2號,,,,,301404.972,2775224.869,,,,,,福華里,休閒購物,生活購物,便利商店,,
0970803436,OK便利商店,北投區,義理街96號,,,,0,301243.036,2779207.334,,,,,,永明里,休閒購物,生活購物,便利商店,,
0981014428,OK便利商店北安店,中山區,北安路476號,,,,,304156.731,2774909.195,,,,,,永安里,休閒購物,生活購物,便利商店,,
0980700102,OK便利商店圓環店,大同區,南京西路258號,,,,0,301161.348,2772024.857,,,0,,,建功里,休閒購物,生活購物,便利商店,,
0981017879,OK便利商店久康店,文山區,久康街1號,,,,0,306146.509,2764846.321,,,0,,,木柵里,休閒購物,生活購物,便利商店,,
0981012670,OK便利商店,中山區,德惠街178號,,,,,302832.166,2773451.323,,,,,,新喜里,休閒購物,生活購物,便利商店,,
0991003907,OK便利商店,士林區,永平街27號,,,,,300108.909,2776085.796,,,,,,永倫里,休閒購物,生活購物,便利商店,,
0981017461,OK便利商店木柵店,文山區,木柵路四段66號,,,,,307128.824,2765847.281,,,,,,博嘉里,休閒購物,生活購物,便利商店,,
0990801891,OK便利商店,士林區,承德路四段130號,,,,,301940.765,2775370.072,,,,,,承德里,休閒購物,生活購物,便利商店,,
1001001159,OK便利商店,中山區,中原街8號1樓,,,,,302519.192,2772310.114,,,,,,中原里,休閒購物,生活購物,便利商店,,
1001009941,OK便利商店,松山區,撫遠街382號,,,,,306234.143,2773237.281,,,,,,莊敬里,休閒購物,生活購物,便利商店,,
0981017600,OK便利商店,文山區,木柵路一段281號,,,,,305062.918,2764784.146,,,,,,華興里,休閒購物,生活購物,便利商店,,
1011000073,ok便利商店,萬華區,萬大路424巷112之5號,,,,,299133.027,2768413.998,,,,,,銘德里,休閒購物,生活購物,便利商店,,
0991003909,OK便利商店,南港區,舊莊街一段159號,,,,,311827.726,2770511.247,,,,,,舊莊里,休閒購物,生活購物,便利商店,,
0991003910,OK便利商店,信義區,吳興街284巷21弄1號,,,,,306035.863,2768699.077,,,,,,雙和里,休閒購物,生活購物,便利商店,,
1011002083,OK便利店訓練中心,中正區,忠孝西路一段41號15樓之1,,,,,301475.81,2771195.873,,,,,,黎明里,文教機構,其他機構,,,
1001000456,OK便利商店,松山區,三民路137號,,,,,305992.799,2772787.865,,,,,,三民里,休閒購物,生活購物,便利商店,,
1001009668,OK便利商店,松山區,新東街11巷28號,,,,0,306162.471,2772531.191,,,0,,,富泰里,休閒購物,生活購物,便利商店,,
1021002855,OK便利商店萬安店,文山區,萬美街一段47號,,,,,306581.078,2766353.827,,,,,,萬芳里,休閒購物,生活購物,便利商店,,
0950100372,萊爾富便利商店金碧店,內湖區,金龍路64號,,,,0,308972.49,2775507.506,,,0,,,內湖里,休閒購物,生活購物,便利商店,,
0950100440,萊爾富便利商店北市和信店,北投區,立德路125號,7-11,,,0,296764.736,2780280.165,,,0,,,,休閒購物,生活購物,便利商店,,
0950102006,萊爾富便利商店北市關渡店,北投區,知行路314號,,,,0,296288.206,2779625.169,,,0,,,,休閒購物,生活購物,便利商店,,
0950102137,萊爾富便利商店,士林區,中山北路七段186號,,,,0,302924.757,2779900.205,,,0,,,天山里,休閒購物,生活購物,便利商店,,
