mark_markid,mark_name,mark_addr_sect,mark_addr,mark_name1,mark_subunit,mark_subname,mark_flag,mark_xcoor67,mark_ycoor67,mark_html,mark_engname,mark_spot,mark_memo,mark_self,mark_addr_lie,marklev1,marklev2,marklev3,marklev4,marklev5
0950500073,麥當勞士林店,士林區,中山北路五段602號,,,,0,302438.352,2776726.11,www.mcdonalds.com.tw/,McDonalds Shilin Branch,1,,,福志里,美食佳餚,西式料理,速食店,,
0950500125,麥當勞羅斯福店,大安區,羅斯福路二段45號,,,,0,301883.677,2769131.151,www.mcdonalds.com.tw/,McDonalds Roosevelt Branch,1,,,錦華里,美食佳餚,西式料理,速食店,,
0950500216,麥當勞台北承德二店,北投區,承德路七段262號1樓,,,,0,300194.044,2778925.122,www.mcdonalds.com.tw/,McDonalds Chengde Second Branch,1,,,立賢里,美食佳餚,西式料理,速食店,,
0950500087,麥當勞台北德行店,士林區,德行東路227號1樓,,,,0,302931.014,2778220.033,www.mcdonalds.com.tw/,McDonalds Taipei Dexing Branch,1,,,三玉里,美食佳餚,西式料理,速食店,,
0950500179,麥當勞台北內湖店,內湖區,內湖路一段741號1樓,,,,0,307514.574,2774858.936,www.mcdonalds.com.tw/,McDonalds Taipen Neihu Branch,1,,,港富里,美食佳餚,西式料理,速食店,,
0950500112,麥當勞忠孝五店,大安區,忠孝東路四段73之1號,,,,0,304363.87,2770721.88,www.mcdonalds.com.tw/,McDonalds Zhongxiao Fifth Branch,1,,,光武里,美食佳餚,西式料理,速食店,,
0950500184,麥當勞內湖成功二店,內湖區,成功路四段180號,,,,0,309068.18,2775356.61,www.mcdonalds.com.tw/,McDonalds Neihu Cheng Gong Second Branch,1,,,內湖里,美食佳餚,西式料理,速食店,,
0950500229,麥當勞民生二店,松山區,民生東路五段234號1樓,,,,0,306281.188,2772629.008,www.mcdonalds.com.tw/,McDonalds Minsheng Second Branch,1,,,新東里,美食佳餚,西式料理,速食店,,
0950500240,麥當勞忠孝二店,信義區,忠孝東路五段289號,,,,0,306838.671,2770662.35,www.mcdonalds.com.tw/,McDonalds Zhongxiao Second Branch,1,,,富台里,美食佳餚,西式料理,速食店,,
0950500254,麥當勞忠孝八店,南港區,忠孝東路六段438號1樓,,,,0,309065.54,2771670.918,www.mcdonalds.com.tw/,McDonalds Zhongxiao Eighth Branch,1,,,新光里,美食佳餚,西式料理,速食店,,
0950500102,麥當勞台北光復店,大安區,光復南路286號,,,,,305420.004,2770477.255,www.mcdonalds.com.tw/,McDonalds Guangfu Branch,1,,,正聲里,美食佳餚,西式料理,速食店,,
0950500118,麥當勞台北建國店,大安區,建國南路二段151巷40號,,,,0,303610.453,2769263.785,www.mcdonalds.com.tw/,McDonalds Taipei Jianguo Branch,1,,,新龍里,美食佳餚,西式料理,速食店,,
0950500164,麥當勞台北南昌店,中正區,南昌路一段149號1樓,,,,0,301510.814,2769341.855,www.mcdonalds.com.tw/,McDonalds Nanchang Branch,1,,,南福里,美食佳餚,西式料理,速食店,,
0950500230,麥當勞民權一店,松山區,民權東路三段128號,,,,0,304264.297,2772940.645,www.mcdonalds.com.tw/,McDonalds Minquan First Branch,1,,,,美食佳餚,西式料理,速食店,,
0950500123,麥當勞台北新生店,大安區,新生南路三段88之2號,,,,0,302997.051,2768086.343,www.mcdonalds.com.tw/,McDonalds Taipei Xinsheng Branch,1,,,大學里,美食佳餚,西式料理,速食店,,
0950500256,麥當勞台北南港店,南港區,南港路二段16號1樓,,,,0,310290.931,2772134.995,www.mcdonalds.com.tw/,McDonalds Nangang Branch,1,,,東明里,美食佳餚,西式料理,速食店,,
0950500121,麥當勞復興二店,大安區,復興南路二段273號,,,,0,304034.256,2768935.119,www.mcdonalds.com.tw/,McDonalds Fuxing Second Branch,1,,,群賢里,美食佳餚,西式料理,速食店,,
0950500233,麥當勞台北南京二店,松山區,南京東路五段162號1樓,,,,0,305983.509,2771771.162,www.mcdonalds.com.tw/,McDonalds Nanjin Second Branch,1,,,吉祥里,美食佳餚,西式料理,速食店,,
0950500241,麥當勞忠孝四店,信義區,忠孝東路五段522號1樓,,,,0,307611.748,2770685.566,www.mcdonalds.com.tw/,McDonalds Zhongxiao Forth Branch,1,,,松光里,美食佳餚,西式料理,速食店,,
0950500074,麥當勞士林中正店,士林區,中正路287號1樓,,,,0,302028.042,2776577.852,www.mcdonalds.com.tw/,McDonalds Shilin Zhong Zheng Branch,1,,,福德里,美食佳餚,西式料理,速食店,,
0950500137,麥當勞台北民權二店,中山區,民權東路二段43號1樓,,,,0,302688.217,2773037.802,www.mcdonalds.com.tw/,McDonalds Taipei Minquan Second Branch,1,,,新福里,美食佳餚,西式料理,速食店,,
0950500195,麥當勞台北考試院店,文山區,木柵路一段137號,,,,0,304715.412,2764722.055,www.mcdonalds.com.tw/,McDonalds Taipei The Examination Yuan of R.O.C Branch,1,,,華興里,美食佳餚,西式料理,速食店,,
0950500198,麥當勞台北指南店,文山區,指南路二段67號1樓,,,,0,307188.656,2764768.985,www.mcdonalds.com.tw/,McDonalds Zhinan Branch,1,,,萬興里,美食佳餚,西式料理,速食店,,
0950500239,麥當勞台北101店,信義區,市府路45號地下1層,,,,0,306074.621,2769869.038,www.mcdonalds.com.tw/,McDonalds Taipei 101 Branch,1,,,西村里,美食佳餚,西式料理,速食店,,
0950500260,麥當勞台北西園二店,萬華區,西園路二段240號,,,,0,299121.101,2769194.823,www.mcdonalds.com.tw/,McDonalds Xiyuan Second Branch,1,,,雙園里,美食佳餚,西式料理,速食店,,
0950500246,麥當勞台北紐約店,信義區,松壽路12號,,,,,306287.476,2770051.824,www.mcdonalds.com.tw/,McDonalds Taipei New York Branch,1,,,西村里,美食佳餚,西式料理,速食店,,
0950500257,麥當勞台北研究院店,南港區,研究院路一段99號,,,,0,311373.753,2771908.421,www.mcdonalds.com.tw/,McDonalds Taipei Academia Rd. Branch,1,,,新富里,美食佳餚,西式料理,速食店,,
0950500148,麥當勞台北南京西店,中山區,南京西路21號1樓,,,,0,301698.686,2771934.252,www.mcdonalds.com.tw/,McDonalds Taipei Nanjinxi Branch,1,,,民安里,美食佳餚,西式料理,速食店,,
0950500193,麥當勞內湖大潤發店,內湖區,舊宗路一段128號,,,,0,307516.723,2772858.926,www.mcdonalds.com.tw/,McDonalds Neihu Rt-Mart Branch,1,,,湖元里,美食佳餚,西式料理,速食店,,
0950500076,麥當勞天母店,士林區,天母西路9號,,,,0,302506.414,2779214.991,www.mcdonalds.com.tw/,McDonalds Tianmu Branch,1,,,天玉里,美食佳餚,西式料理,速食店,,
0950500171,麥當勞台北濟南店,中正區,濟南路二段66號1樓,,,,0,302890.075,2770529.755,www.mcdonalds.com.tw/,McDonalds Taipei Jinan Branch ,1,,,幸市里,美食佳餚,西式料理,速食店,,
0950500081,麥當勞高島屋店,士林區,忠誠路二段55號地下1層,,,,0,302764.461,2778471.552,www.mcdonalds.com.tw/,McDonalds Dayeh-Takashimaya Branch,1,,,三玉里,美食佳餚,西式料理,速食店,,
0950500152,麥當勞台北大直愛買店,中山區,敬業三路123號,,,,,305245.188,2775081.046,www.mcdonalds.com.tw/,McDonalds Taipei Dazhi Geant Branch,1,,,成功里,美食佳餚,西式料理,速食店,,
0950500243,麥當勞新光信義店,信義區,松高路12號地下2層,,,,0,306364.643,2770400.517,www.mcdonalds.com.tw/,McDonalds Xinguang Xinyi Branch,1,,,西村里,美食佳餚,西式料理,速食店,,
0950500163,麥當勞林森二店,中正區,林森南路1號,,,,0,301978.444,2771004.514,www.mcdonalds.com.tw/,McDonalds Linsen Second Branch,1,,,幸福里,美食佳餚,西式料理,速食店,,
0950500083,麥當勞重北一店,士林區,重慶北路四段123號,,,,,300816.73,2775217.343,www.mcdonalds.com.tw/,McDonalds Chongbei First Branch,1,,,福順里,美食佳餚,西式料理,速食店,,
0950500088,麥當勞民生三店,大同區,民生西路55號,,,,0,301669.674,2772478.452,www.mcdonalds.com.tw/,McDonalds Mingsheng Third Branch,1,,,雙連里,美食佳餚,西式料理,速食店,,
0950500134,麥當勞台北北安店,中山區,北安路626號1樓,,,,0,304560.197,2775256.216,www.mcdonalds.com.tw/,McDonalds Taipei Beian Branch,1,,,成功里,美食佳餚,西式料理,速食店,,
0950500206,麥當勞台北興隆店,文山區,興隆路三段54號,,,,0,305281.459,2766112.368,www.mcdonalds.com.tw/,McDonalds Taipei Xing Long Branch,1,,,興得里,美食佳餚,西式料理,速食店,,
0950500251,麥當勞台北莊敬店,信義區,莊敬路475號1樓,,,,0,306504.088,2769076.503,www.mcdonalds.com.tw/,McDonalds Taipei Zhuang Jing Branch,1,,,三張里,美食佳餚,西式料理,速食店,,
0950500232,麥當勞環亞店,松山區,南京東路三段337號,,,,0,304461.029,2771849.116,www.mcdonalds.com.tw/,McDonalds Huanya Branch,1,,,中正里,美食佳餚,西式料理,速食店,,
0950500196,麥當勞台北木柵店,文山區,木柵路三段57號1樓,,,,0,306355.671,2764843.106,www.mcdonalds.com.tw/,McDonalds Muzha Branch,1,,,木柵里,美食佳餚,西式料理,速食店,,
0950500208,麥當勞台北中央店,北投區,中央北路四段534號1樓,,,,0,296367.214,2780259.972,www.mcdonalds.com.tw/,McDonalds Taipei Zhongyang Branch,1,,,一德里,美食佳餚,西式料理,速食店,,
0950500170,麥當勞台北館前店,中正區,館前路8號,,,,0,301123.959,2771154.889,www.mcdonalds.com.tw/,McDonalds Guanqian Branch ,1,,,黎明里,美食佳餚,西式料理,速食店,,
0950500177,麥當勞台北西湖店,內湖區,內湖路一段283號1樓,,,,0,306277.028,2775233.041,www.mcdonalds.com.tw/,McDonalds Taipei Xihu Branch,1,,,西湖里,美食佳餚,西式料理,速食店,,
0950500190,麥當勞台北康寧店,內湖區,康寧路三段168號1樓,,,,0,310893.041,2773809.826,www.mcdonalds.com.tw/,McDonalds Taipei Kangning Branch,1,,,葫洲里,美食佳餚,西式料理,速食店,,
